Ending	Count
háza	66
fa	61
falu	44
vár	38
falva	32
hely	23
lak	20
kút	18
szeg	17
túr	17
apáti	16
márton	16
tó	16
györgy	15
telek	15
szőlős	14
szállás	14
halom	13
miklós	13
berény	12
bánya	11
fő	11
lád	10
liget	9
tő	9
alja	8
ház	8
hida	8
iván	8
kér	8
keszi	8
örs	8
lászló	8
völgy	8
jenő	7
földe	7
sziget	7
ladány	6
föld	6
hegyes	6
szent	6
szántó	6
andrás	6
király	6
almás	5
huta	5
csehi	5
falud	5
gyarmat	5
vég	5
péter	5
kál	5
kápolna	5
káta	5
kovácsi	5
kövesd	5
megyer	5
mihály	5
nána	5
németi	5
petri	5
szék	5
szög	5
acsa	4
bod	4
bő	4
csány	4
daróc	4
dobsza	4
egres	4
földvár	4
gát	4
halma	4
hartyán	4
jakab	4
keresztes	4
kő	4
kutas	4
lőrinc	4
lövő	4
udvar	4
nyárád	4
nyék	4
oroszi	4
sáp	4
sárd	4
erzsébet	4
pál	4
tamási	4
tarcsa	4
kert	4
varsány	4
víz	4
agárd	3
aszó	3
bajom	3
bér	3
berek	3
berki	3
besenyő	3
boz	3
dorog	3
egerszeg	3
énfa	3
fehértó	3
fok	3
fürdő	3
horváti	3
tarján	3
györk	3
harsány	3
kércs	3
komárom	3
kürt	3
lőd	3
meggyes	3
mellék	3
monostor	3
némedi	3
pályi	3
peterd	3
püspöki	3
rákos	3
sámson	3
sárkány	3
surány	3
szabadi	3
szalók	3
tomaj	3
szemere	3
szend	3
imre	3
kereszt	3
város	3
vámos	3
ábrány	2
acsád	2
adony	2
ágota	2
alpár	2
aranyos	2
atád	2
zsadány	2
bajcs	2
baksa	2
bánhegyes	2
bárkány	2
barok	2
bátor	2
battyán	2
becs	2
bél	2
bénye	2
bercel	2
berecki	2
bodony	2
bogát	2
bogdány	2
boglár	2
bödöge	2
böszörmény	2
budmér	2
bük	2
csaba	2
család	2
csanád	2
csécs	2
csepely	2
csicsó	2
debrő	2
déd	2
dér	2
derzs	2
dobos	2
domb	2
dombó	2
doroszló	2
ederics	2
endréd	2
fajsz	2
füred	2
gagy	2
géc	2
gerge	2
görbő	2
gyán	2
győ	2
győr	2
györök	2
hajmás	2
haláp	2
halász	2
hany	2
haraszt	2
haraszti	2
hatvan	2
henye	2
hertelend	2
hetény	2
híd	2
hódos	2
hollós	2
homok	2
igmánd	2
istvánd	2
ivánka	2
jád	2
jákó	2
kálla	2
kálló	2
kamarás	2
kenéz	2
kesző	2
kígyós	2
kinizs	2
komlós	2
kónyi	2
koppány	2
korpád	2
kozár	2
kölked	2
kőrös	2
ládony	2
lengyel	2
léta	2
magyaród	2
mányok	2
maros	2
mecske	2
miske	2
mizdó	2
mocsolád	2
monostora	2
nádasd	2
namény	2
nép	2
terenye	2
patak	2
oszlop	2
óvár	2
öcske	2
páhok	2
palád	2
páli	2
palkonya	2
palota	2
papi	2
patona	2
paty	2
péc	2
pércs	2
petény	2
pilis	2
pirit	2
polány	2
pölöske	2
szer	2
radvány	2
rajk	2
récse	2
regmec	2
udvari	2
rév	2
rozvágy	2
sár	2
sas	2
semjén	2
senye	2
simonyi	2
szabar	2
szabolcs	2
szakál	2
szalka	2
szalonta	2
szecsőd	2
szekcső	2
székely	2
szekeres	2
szele	2
szemes	2
balázs	2
istván	2
széplak	2
szilas	2
szolnok	2
szovát	2
szölnök	2
tálya	2
tárkány	2
telekes	2
teszér	2
tetétlen	2
tevel	2
told	2
tóti	2
töttös	2
vadász	2
várad	2
varasd	2
várkony	2
vári	2
vázsony	2
vecse	2
vejke	2
viszló	2
zar	2
zombor	2
zsidány	2
zsolca	2
